customer_id,churn_date,churn_reason
857,2025-06-30,Poor customer service
861,2025-06-30,Service quality issues
864,2025-06-30,Better offer from competitor
867,2025-06-30,Billing issues
869,2025-06-30,No longer need service
872,2025-06-30,Technical problems
873,2025-06-30,Moving to different region
874,2025-06-30,Billing issues
879,2025-06-30,Service quality issues
880,2025-06-30,Service quality issues
881,2025-06-30,Technical problems
884,2025-06-30,Technical problems
886,2025-06-30,Price too high
887,2025-06-30,Moving to different region
894,2025-06-30,Price too high
895,2025-06-30,No longer need service
903,2025-06-30,Billing issues
908,2025-06-30,Moving to different region
912,2025-06-30,Better offer from competitor
919,2025-06-30,Billing issues
922,2025-06-30,Price too high
923,2025-06-30,Better offer from competitor
927,2025-06-30,Poor customer service
931,2025-06-30,Technical problems
933,2025-06-30,Price too high
942,2025-06-30,Technical problems
946,2025-06-30,Technical problems
949,2025-06-30,Service quality issues
954,2025-06-30,Poor customer service
955,2025-06-30,Moving to different region
958,2025-06-30,Better offer from competitor
961,2025-06-30,No longer need service
963,2025-06-30,Price too high
967,2025-06-30,Service quality issues
973,2025-06-30,Better offer from competitor
974,2025-06-30,Better offer from competitor
978,2025-06-30,Technical problems
980,2025-06-30,Better offer from competitor
982,2025-06-30,Billing issues
992,2025-06-30,Billing issues
996,2025-06-30,Poor customer service
998,2025-06-30,Technical problems
1009,2025-06-30,Poor customer service
1010,2025-06-30,No longer need service
1012,2025-06-30,No longer need service
1015,2025-06-30,Billing issues
1018,2025-06-30,Technical problems
1020,2025-06-30,Moving to different region
1021,2025-06-30,Better offer from competitor
1025,2025-06-30,Technical problems
1040,2025-06-30,Technical problems
1041,2025-06-30,Billing issues
1042,2025-06-30,No longer need service
1046,2025-06-30,Poor customer service
1050,2025-06-30,Moving to different region
1051,2025-06-30,Service quality issues
1053,2025-06-30,Better offer from competitor
1056,2025-06-30,Technical problems
1058,2025-06-30,Billing issues
1061,2025-06-30,Better offer from competitor
1064,2025-06-30,Better offer from competitor
1066,2025-06-30,Better offer from competitor
1068,2025-06-30,Poor customer service
1070,2025-06-30,Billing issues
1072,2025-06-30,Better offer from competitor
1077,2025-06-30,Service quality issues
1079,2025-06-30,Moving to different region
1082,2025-06-30,No longer need service
1089,2025-06-30,No longer need service
1092,2025-06-30,Moving to different region
1097,2025-06-30,Price too high
1101,2025-06-30,Technical problems
1102,2025-06-30,Technical problems
1103,2025-06-30,Better offer from competitor
1104,2025-06-30,Moving to different region
1111,2025-06-30,Price too high
1119,2025-06-30,Service quality issues
1122,2025-06-30,No longer need service
1125,2025-06-30,Better offer from competitor
1131,2025-06-30,Poor customer service
1135,2025-06-30,Moving to different region
1141,2025-06-30,Moving to different region
1147,2025-06-30,Moving to different region
1148,2025-06-30,Poor customer service
1159,2025-06-30,Billing issues
1162,2025-06-30,Better offer from competitor
1164,2025-06-30,Poor customer service
1170,2025-06-30,Technical problems
1174,2025-06-30,Billing issues
1177,2025-06-30,Better offer from competitor
1179,2025-06-30,Technical problems
1184,2025-06-30,Price too high
1198,2025-06-30,Moving to different region
1204,2025-06-30,Technical problems
1206,2025-06-30,Service quality issues
1207,2025-06-30,Moving to different region
1210,2025-06-30,Price too high
1212,2025-06-30,Billing issues
1220,2025-06-30,No longer need service
1225,2025-06-30,Technical problems
1232,2025-06-30,Poor customer service
1237,2025-06-30,Better offer from competitor
1242,2025-06-30,Better offer from competitor
1246,2025-06-30,Billing issues
1249,2025-06-30,Billing issues
1252,2025-06-30,Better offer from competitor
1256,2025-06-30,Billing issues
1262,2025-06-30,Service quality issues
1264,2025-06-30,Poor customer service
1268,2025-06-30,Better offer from competitor
1271,2025-06-30,Better offer from competitor
1276,2025-06-30,Price too high
1277,2025-06-30,No longer need service
1282,2025-06-30,Technical problems
1284,2025-06-30,No longer need service
1285,2025-06-30,Moving to different region
1302,2025-06-30,Billing issues
1307,2025-06-30,Billing issues
1309,2025-06-30,Service quality issues
1315,2025-06-30,Moving to different region
1318,2025-06-30,Better offer from competitor
1323,2025-06-30,No longer need service
1324,2025-06-30,No longer need service
1326,2025-06-30,No longer need service
1329,2025-06-30,Price too high
1335,2025-06-30,Poor customer service
1340,2025-06-30,Technical problems
1346,2025-06-30,Poor customer service
1350,2025-06-30,Service quality issues
1354,2025-06-30,Service quality issues
1358,2025-06-30,Price too high
1359,2025-06-30,Price too high
1361,2025-06-30,Service quality issues
1363,2025-06-30,Poor customer service
1365,2025-06-30,Poor customer service
1370,2025-06-30,Moving to different region
1372,2025-06-30,Service quality issues
1384,2025-06-30,Better offer from competitor
1393,2025-06-30,Price too high
1394,2025-06-30,Technical problems
1399,2025-06-30,Service quality issues
1404,2025-06-30,Service quality issues
1406,2025-06-30,Poor customer service
1416,2025-06-30,Billing issues
1422,2025-06-30,Billing issues
1426,2025-06-30,Technical problems
1431,2025-06-30,Billing issues
1439,2025-06-30,No longer need service
1446,2025-06-30,Poor customer service
1448,2025-06-30,Poor customer service
1451,2025-06-30,Better offer from competitor
1457,2025-06-30,Technical problems
1460,2025-06-30,Moving to different region
1461,2025-06-30,Moving to different region
1463,2025-06-30,No longer need service
1464,2025-06-30,Better offer from competitor
1468,2025-06-30,Better offer from competitor
1471,2025-06-30,Billing issues
1477,2025-06-30,No longer need service
1478,2025-06-30,No longer need service
1480,2025-06-30,Poor customer service
1484,2025-06-30,Moving to different region
1486,2025-06-30,Technical problems
1487,2025-06-30,Poor customer service
1488,2025-06-30,Service quality issues
1489,2025-06-30,Poor customer service
1494,2025-06-30,Service quality issues
1500,2025-06-30,Service quality issues
1502,2025-06-30,Price too high
1506,2025-06-30,Price too high
1512,2025-06-30,Moving to different region
1515,2025-06-30,Price too high
1517,2025-06-30,Better offer from competitor
1518,2025-06-30,Poor customer service
1520,2025-06-30,Service quality issues
1525,2025-06-30,Price too high
1533,2025-06-30,Service quality issues
1541,2025-06-30,Technical problems
1544,2025-06-30,Service quality issues
1545,2025-06-30,Better offer from competitor
1548,2025-06-30,Poor customer service
1550,2025-06-30,Better offer from competitor
1556,2025-06-30,Price too high
1557,2025-06-30,Price too high
1559,2025-06-30,Better offer from competitor
1562,2025-06-30,Technical problems
1569,2025-06-30,Better offer from competitor
1570,2025-06-30,No longer need service
1582,2025-06-30,Poor customer service
1583,2025-06-30,Price too high
1587,2025-06-30,Technical problems
1591,2025-06-30,Technical problems
1596,2025-06-30,Billing issues
1605,2025-06-30,Price too high
1613,2025-06-30,Poor customer service
1615,2025-06-30,Billing issues
1617,2025-06-30,Moving to different region
1618,2025-06-30,Better offer from competitor
1619,2025-06-30,Technical problems
1630,2025-06-30,No longer need service
1631,2025-06-30,No longer need service
1637,2025-06-30,Better offer from competitor
1640,2025-06-30,No longer need service
1641,2025-06-30,Moving to different region
1643,2025-06-30,Moving to different region
1644,2025-06-30,Price too high
1652,2025-06-30,Technical problems
1661,2025-06-30,Poor customer service
1662,2025-06-30,No longer need service
1667,2025-06-30,Service quality issues
1679,2025-06-30,Poor customer service
1682,2025-06-30,Price too high
1691,2025-06-30,Service quality issues
1693,2025-06-30,Price too high
1695,2025-06-30,Better offer from competitor
1697,2025-06-30,Moving to different region
1706,2025-06-30,Service quality issues
1709,2025-06-30,Billing issues
1710,2025-06-30,Better offer from competitor
1712,2025-06-30,Service quality issues
1716,2025-06-30,No longer need service
1717,2025-06-30,Moving to different region
1718,2025-06-30,Technical problems
1721,2025-06-30,Price too high
1726,2025-06-30,Better offer from competitor
1730,2025-06-30,Technical problems
1733,2025-06-30,Better offer from competitor
1743,2025-06-30,Better offer from competitor
1747,2025-06-30,Moving to different region
1750,2025-06-30,Billing issues
1751,2025-06-30,Moving to different region
1764,2025-06-30,Price too high
1769,2025-06-30,Service quality issues
1774,2025-06-30,Poor customer service
1775,2025-06-30,Service quality issues
1776,2025-06-30,Moving to different region
1777,2025-06-30,Billing issues
1778,2025-06-30,Price too high
1788,2025-06-30,Billing issues
1790,2025-06-30,Technical problems
1795,2025-06-30,Service quality issues
1796,2025-06-30,Billing issues
1799,2025-06-30,Technical problems
1803,2025-06-30,Billing issues
1805,2025-06-30,Better offer from competitor
1806,2025-06-30,Service quality issues
1807,2025-06-30,Technical problems
1808,2025-06-30,Moving to different region
1809,2025-06-30,Moving to different region
1811,2025-06-30,Price too high
1813,2025-06-30,Technical problems
1816,2025-06-30,Billing issues
1824,2025-06-30,Billing issues
1827,2025-06-30,Moving to different region
1828,2025-06-30,Poor customer service
1832,2025-06-30,Moving to different region
1835,2025-06-30,Service quality issues
1836,2025-06-30,Better offer from competitor
1839,2025-06-30,Price too high
1850,2025-06-30,Better offer from competitor
1855,2025-06-30,Poor customer service
1859,2025-06-30,Price too high
1861,2025-06-30,Moving to different region
1862,2025-06-30,No longer need service
1868,2025-06-30,Service quality issues
1869,2025-06-30,Better offer from competitor
1870,2025-06-30,Better offer from competitor
1873,2025-06-30,Billing issues
1874,2025-06-30,Price too high
1881,2025-06-30,Better offer from competitor
1883,2025-06-30,Service quality issues
1885,2025-06-30,Price too high
1886,2025-06-30,Better offer from competitor
1888,2025-06-30,Moving to different region
1896,2025-06-30,Poor customer service
1898,2025-06-30,Poor customer service
1901,2025-06-30,Technical problems
1904,2025-06-30,Moving to different region
1907,2025-06-30,Poor customer service
1913,2025-06-30,No longer need service
1917,2025-06-30,Technical problems
1922,2025-06-30,Poor customer service
1923,2025-06-30,Poor customer service
1924,2025-06-30,No longer need service
1928,2025-06-30,Technical problems
1931,2025-06-30,Price too high
1934,2025-06-30,Billing issues
1938,2025-06-30,Moving to different region
1940,2025-06-30,Better offer from competitor
1947,2025-06-30,No longer need service
1949,2025-06-30,Billing issues
1954,2025-06-30,Moving to different region
1955,2025-06-30,Technical problems
1958,2025-06-30,Technical problems
1979,2025-06-30,Service quality issues
1983,2025-06-30,Price too high
1984,2025-06-30,Poor customer service
1987,2025-06-30,Poor customer service
1989,2025-06-30,Better offer from competitor
1991,2025-06-30,Billing issues
2007,2025-06-30,Poor customer service
2010,2025-06-30,Technical problems
2011,2025-06-30,No longer need service
2012,2025-06-30,Poor customer service
2013,2025-06-30,No longer need service
2015,2025-06-30,Poor customer service
2021,2025-06-30,Poor customer service
2024,2025-06-30,Price too high
2027,2025-06-30,Service quality issues
2031,2025-06-30,Better offer from competitor
2034,2025-06-30,Service quality issues
2036,2025-06-30,Price too high
2037,2025-06-30,Moving to different region
2039,2025-06-30,No longer need service
2042,2025-06-30,Moving to different region
2043,2025-06-30,Billing issues
2049,2025-06-30,Price too high
2052,2025-06-30,Moving to different region
2057,2025-06-30,Billing issues
2061,2025-06-30,Poor customer service
2062,2025-06-30,Better offer from competitor
2065,2025-06-30,Service quality issues
2071,2025-06-30,Better offer from competitor
2079,2025-06-30,No longer need service
2083,2025-06-30,No longer need service
2084,2025-06-30,Price too high
2085,2025-06-30,No longer need service
2090,2025-06-30,Billing issues
2094,2025-06-30,No longer need service
2095,2025-06-30,Price too high
2097,2025-06-30,Billing issues
2098,2025-06-30,Poor customer service
2110,2025-06-30,Price too high
2112,2025-06-30,Better offer from competitor
2113,2025-06-30,Poor customer service
2114,2025-06-30,Better offer from competitor
2117,2025-06-30,Billing issues
2118,2025-06-30,No longer need service
2120,2025-06-30,Technical problems
2126,2025-06-30,Technical problems
2128,2025-06-30,Better offer from competitor
2135,2025-06-30,Price too high
2138,2025-06-30,Poor customer service
2150,2025-06-30,Price too high
2152,2025-06-30,Billing issues
2155,2025-06-30,Moving to different region
2165,2025-06-30,Poor customer service
2172,2025-06-30,Poor customer service
2175,2025-06-30,Technical problems
2179,2025-06-30,Technical problems
2182,2025-06-30,Moving to different region
2189,2025-06-30,Technical problems
2195,2025-06-30,Better offer from competitor
2200,2025-06-30,Service quality issues
2202,2025-06-30,Moving to different region
2203,2025-06-30,Billing issues
2205,2025-06-30,Price too high
2206,2025-06-30,Service quality issues
2210,2025-06-30,No longer need service
2214,2025-06-30,Price too high
2216,2025-06-30,Billing issues
2222,2025-06-30,Billing issues
2223,2025-06-30,Moving to different region
2225,2025-06-30,Better offer from competitor
2226,2025-06-30,Price too high
2232,2025-06-30,Moving to different region
2234,2025-06-30,Price too high
2236,2025-06-30,Technical problems
2242,2025-06-30,Price too high
2244,2025-06-30,No longer need service
2246,2025-06-30,Billing issues
2250,2025-06-30,Moving to different region
2252,2025-06-30,No longer need service
2254,2025-06-30,No longer need service
2258,2025-06-30,Poor customer service
2262,2025-06-30,No longer need service
2266,2025-06-30,Service quality issues
2273,2025-06-30,No longer need service
2275,2025-06-30,Better offer from competitor
2277,2025-06-30,Better offer from competitor
2278,2025-06-30,Moving to different region
2287,2025-06-30,No longer need service
2294,2025-06-30,Price too high
2299,2025-06-30,Billing issues
2305,2025-06-30,No longer need service
2308,2025-06-30,Price too high
2315,2025-06-30,No longer need service
2316,2025-06-30,No longer need service
2318,2025-06-30,Service quality issues
2320,2025-06-30,Service quality issues
2321,2025-06-30,Technical problems
2322,2025-06-30,Service quality issues
2326,2025-06-30,Billing issues
2332,2025-06-30,No longer need service
2333,2025-06-30,Poor customer service
2341,2025-06-30,Billing issues
2349,2025-06-30,Poor customer service
2354,2025-06-30,Moving to different region
2356,2025-06-30,Moving to different region
2364,2025-06-30,Billing issues
2366,2025-06-30,Poor customer service
2371,2025-06-30,Technical problems
2372,2025-06-30,Moving to different region
2373,2025-06-30,Moving to different region
2374,2025-06-30,No longer need service
2381,2025-06-30,Poor customer service
2382,2025-06-30,Better offer from competitor
2385,2025-06-30,Price too high
2389,2025-06-30,Better offer from competitor
2393,2025-06-30,Billing issues
2396,2025-06-30,No longer need service
2397,2025-06-30,Billing issues
2399,2025-06-30,Technical problems
2400,2025-06-30,Moving to different region
2401,2025-06-30,Billing issues
2402,2025-06-30,Billing issues
2407,2025-06-30,Service quality issues
2411,2025-06-30,Service quality issues
2416,2025-06-30,Billing issues
2417,2025-06-30,Service quality issues
2423,2025-06-30,No longer need service
2429,2025-06-30,Billing issues
2436,2025-06-30,Better offer from competitor
2438,2025-06-30,Price too high
2441,2025-06-30,Better offer from competitor
2446,2025-06-30,Moving to different region
2452,2025-06-30,Poor customer service
2453,2025-06-30,Price too high
2459,2025-06-30,Better offer from competitor
2460,2025-06-30,Technical problems
2469,2025-06-30,Better offer from competitor
2473,2025-06-30,Billing issues
2479,2025-06-30,Better offer from competitor
2486,2025-06-30,Better offer from competitor
2488,2025-06-30,Billing issues
2492,2025-06-30,Service quality issues
2495,2025-06-30,Billing issues
2497,2025-06-30,Billing issues
2502,2025-06-30,Technical problems
2505,2025-06-30,Moving to different region
2508,2025-06-30,Technical problems
2510,2025-06-30,No longer need service
2513,2025-06-30,Moving to different region
2522,2025-06-30,Service quality issues
2527,2025-06-30,Moving to different region
2530,2025-06-30,Price too high
2547,2025-06-30,No longer need service
2550,2025-06-30,Price too high
2551,2025-06-30,Poor customer service
2564,2025-06-30,Moving to different region
2567,2025-06-30,Price too high
2569,2025-06-30,Service quality issues
2573,2025-06-30,Price too high
2574,2025-06-30,Service quality issues
2579,2025-06-30,Poor customer service
2582,2025-06-30,No longer need service
2589,2025-06-30,Technical problems
2590,2025-06-30,Technical problems
2591,2025-06-30,No longer need service
2595,2025-06-30,No longer need service
2597,2025-06-30,Billing issues
2606,2025-06-30,Moving to different region
2622,2025-06-30,Billing issues
2623,2025-06-30,No longer need service
2624,2025-06-30,Poor customer service
2631,2025-06-30,Billing issues
2635,2025-06-30,Poor customer service
2636,2025-06-30,Billing issues
2638,2025-06-30,Better offer from competitor
2647,2025-06-30,Billing issues
2648,2025-06-30,No longer need service
2650,2025-06-30,Moving to different region
2656,2025-06-30,Better offer from competitor
2668,2025-06-30,Better offer from competitor
2676,2025-06-30,Poor customer service
2680,2025-06-30,Poor customer service
2688,2025-06-30,Service quality issues
2689,2025-06-30,Technical problems
2690,2025-06-30,Price too high
2694,2025-06-30,Billing issues
2701,2025-06-30,Technical problems
2702,2025-06-30,Moving to different region
2706,2025-06-30,Moving to different region
2713,2025-06-30,Service quality issues
2717,2025-06-30,Price too high
2727,2025-06-30,Poor customer service
2734,2025-06-30,Poor customer service
2748,2025-06-30,Service quality issues
2757,2025-06-30,Poor customer service
2761,2025-06-30,Service quality issues
2764,2025-06-30,Billing issues
2769,2025-06-30,Better offer from competitor
2777,2025-06-30,Better offer from competitor
2780,2025-06-30,Moving to different region
2783,2025-06-30,Poor customer service
2784,2025-06-30,Billing issues
2785,2025-06-30,No longer need service
2791,2025-06-30,Better offer from competitor
2795,2025-06-30,Technical problems
2797,2025-06-30,No longer need service
2801,2025-06-30,Better offer from competitor
2802,2025-06-30,Better offer from competitor
2805,2025-06-30,No longer need service
2807,2025-06-30,Better offer from competitor
2809,2025-06-30,Service quality issues
2810,2025-06-30,Billing issues
2812,2025-06-30,Better offer from competitor
2815,2025-06-30,Service quality issues
2819,2025-06-30,No longer need service
2820,2025-06-30,Better offer from competitor
2830,2025-06-30,Better offer from competitor
2831,2025-06-30,Moving to different region
2833,2025-06-30,Moving to different region
2836,2025-06-30,Billing issues
2838,2025-06-30,Service quality issues
2840,2025-06-30,Technical problems
2845,2025-06-30,Better offer from competitor
2849,2025-06-30,No longer need service
2850,2025-06-30,Moving to different region
2851,2025-06-30,No longer need service
2853,2025-06-30,Better offer from competitor
2865,2025-06-30,Service quality issues
2866,2025-06-30,Service quality issues
2869,2025-06-30,Billing issues
2875,2025-06-30,Better offer from competitor
2876,2025-06-30,Better offer from competitor
2880,2025-06-30,Billing issues
2882,2025-06-30,Better offer from competitor
2884,2025-06-30,No longer need service
2885,2025-06-30,Price too high
2887,2025-06-30,Poor customer service
2889,2025-06-30,Moving to different region
2892,2025-06-30,Technical problems
2894,2025-06-30,Moving to different region
2899,2025-06-30,Price too high
2902,2025-06-30,Better offer from competitor
2903,2025-06-30,Poor customer service
2905,2025-06-30,Poor customer service
2908,2025-06-30,Billing issues
2911,2025-06-30,Service quality issues
2913,2025-06-30,Service quality issues
2921,2025-06-30,Billing issues
2924,2025-06-30,Service quality issues
2925,2025-06-30,Better offer from competitor
2930,2025-06-30,No longer need service
2931,2025-06-30,Billing issues
2932,2025-06-30,Technical problems
2934,2025-06-30,Price too high
2938,2025-06-30,Moving to different region
2942,2025-06-30,Better offer from competitor
2951,2025-06-30,Price too high
2952,2025-06-30,Billing issues
2953,2025-06-30,Billing issues
2955,2025-06-30,Better offer from competitor
2956,2025-06-30,Price too high
2966,2025-06-30,Billing issues
2967,2025-06-30,Moving to different region
2971,2025-06-30,Technical problems
2974,2025-06-30,Poor customer service
2977,2025-06-30,Billing issues
2978,2025-06-30,Service quality issues
2986,2025-06-30,Moving to different region
2987,2025-06-30,Moving to different region
2991,2025-06-30,Poor customer service
2994,2025-06-30,Technical problems
2996,2025-06-30,Service quality issues
2998,2025-06-30,Moving to different region
3001,2025-06-30,Billing issues
3002,2025-06-30,Price too high
3007,2025-06-30,Price too high
3008,2025-06-30,Service quality issues
3009,2025-06-30,Billing issues
3010,2025-06-30,No longer need service
3014,2025-06-30,No longer need service
3017,2025-06-30,Billing issues
3019,2025-06-30,Technical problems
3020,2025-06-30,Poor customer service
3022,2025-06-30,Technical problems
3026,2025-06-30,Billing issues
3027,2025-06-30,Moving to different region
3033,2025-06-30,Better offer from competitor
3040,2025-06-30,Price too high
3042,2025-06-30,Service quality issues
3044,2025-06-30,Price too high
3055,2025-06-30,Poor customer service
3056,2025-06-30,Moving to different region
3057,2025-06-30,Better offer from competitor
3061,2025-06-30,Service quality issues
3068,2025-06-30,Price too high
3071,2025-06-30,Moving to different region
3074,2025-06-30,Service quality issues
3082,2025-06-30,Poor customer service
3084,2025-06-30,Moving to different region
3088,2025-06-30,Better offer from competitor
3094,2025-06-30,Better offer from competitor
3096,2025-06-30,Billing issues
3097,2025-06-30,Price too high
3098,2025-06-30,Service quality issues
3102,2025-06-30,No longer need service
3106,2025-06-30,No longer need service
3107,2025-06-30,Price too high
3112,2025-06-30,Technical problems
3124,2025-06-30,Billing issues
3127,2025-06-30,Billing issues
3129,2025-06-30,Moving to different region
3131,2025-06-30,Better offer from competitor
3143,2025-06-30,Technical problems
3147,2025-06-30,Billing issues
3148,2025-06-30,Service quality issues
3150,2025-06-30,Service quality issues
3151,2025-06-30,Service quality issues
3167,2025-06-30,Poor customer service
3168,2025-06-30,Better offer from competitor
3172,2025-06-30,Moving to different region
3175,2025-06-30,No longer need service
3177,2025-06-30,Poor customer service
3181,2025-06-30,Technical problems
3183,2025-06-30,Service quality issues
3194,2025-06-30,No longer need service
3204,2025-06-30,Moving to different region
3206,2025-06-30,Billing issues
3209,2025-06-30,Moving to different region
3212,2025-06-30,Billing issues
3219,2025-06-30,Better offer from competitor
3221,2025-06-30,Poor customer service
3225,2025-06-30,Price too high
3236,2025-06-30,Billing issues
3239,2025-06-30,No longer need service
3240,2025-06-30,Service quality issues
3243,2025-06-30,Service quality issues
3244,2025-06-30,Service quality issues
3245,2025-06-30,Poor customer service
3248,2025-06-30,Poor customer service
3252,2025-06-30,Moving to different region
3253,2025-06-30,Price too high
3263,2025-06-30,Service quality issues
3268,2025-06-30,No longer need service
3270,2025-06-30,Technical problems
3273,2025-06-30,Service quality issues
3281,2025-06-30,No longer need service
3284,2025-06-30,Service quality issues
3285,2025-06-30,Poor customer service
3291,2025-06-30,Better offer from competitor
3292,2025-06-30,Better offer from competitor
3294,2025-06-30,No longer need service
3295,2025-06-30,Better offer from competitor
3296,2025-06-30,No longer need service
3298,2025-06-30,Poor customer service
3299,2025-06-30,Service quality issues
3300,2025-06-30,No longer need service
3302,2025-06-30,Better offer from competitor
3304,2025-06-30,Moving to different region
